user_id,ad_id,impression_ts,click_ts,purchase_value
36,2,2025-12-01 10:56:00,2025-12-01 11:13:00,100.0
165,4,2025-12-01 09:26:00,2025-12-01 10:24:00,200.0
55,5,2025-12-01 10:25:00,,
30,4,2025-12-01 09:00:00,2025-12-01 09:27:00,50.0
79,3,2025-12-01 10:56:00,2025-12-01 11:01:00,
126,1,2025-12-01 14:23:00,,
28,4,2025-12-01 07:39:00,2025-12-01 08:27:00,
159,1,2025-12-01 11:00:00,,
44,2,2025-12-01 08:20:00,,
117,3,2025-12-01 14:13:00,,
91,5,2025-12-01 13:56:00,,
102,3,2025-12-01 07:08:00,,
122,999,2025-12-01 13:30:00,,
105,3,2025-12-01 13:52:00,,
166,1,2025-12-01 12:16:00,2025-12-01 12:52:00,0.0
74,999,2025-12-01 16:19:00,,
78,5,,,
106,999,2025-12-01 15:27:00,,
168,3,2025-12-01 14:56:00,,
172,999,2025-12-01 11:14:00,,
62,999,2025-12-01 15:07:00,,
110,5,2025-12-01 13:48:00,,
148,5,2025-12-01 07:21:00,,
164,3,2025-12-01 15:53:00,2025-12-01 16:39:00,50.0
11,3,2025-12-01 10:35:00,,
14,1,2025-12-01 14:13:00,2025-12-01 14:45:00,-10.0
61,999,2025-12-01 12:17:00,,
61,2,2025-12-01 10:01:00,2025-12-01 10:33:00,100.0
5,1,2025-12-01 12:01:00,,
14,5,2025-12-01 11:59:00,2025-12-01 12:51:00,0.0
60,1,2025-12-01 13:29:00,,
175,4,2025-12-01 08:05:00,,
95,3,2025-12-01 09:41:00,,
49,3,2025-12-01 07:45:00,2025-12-01 08:43:00,-10.0
47,5,2025-12-01 14:26:00,,
98,3,2025-12-01 10:36:00,2025-12-01 11:14:00,
145,3,2025-12-01 08:27:00,2025-12-01 09:10:00,
77,5,2025-12-01 14:19:00,,
49,999,2025-12-01 11:04:00,,
172,2,2025-12-01 13:12:00,,
50,4,2025-12-01 13:28:00,,
100,4,2025-12-01 13:19:00,,
106,4,2025-12-01 07:55:00,,
51,2,2025-12-01 13:22:00,,
88,3,2025-12-01 11:42:00,,
119,999,2025-12-01 12:09:00,2025-12-01 12:04:00,50.0
43,3,2025-12-01 16:00:00,,
120,5,2025-12-01 11:17:00,,
166,2,2025-12-01 11:32:00,2025-12-01 11:43:00,200.0
148,2,2025-12-01 13:33:00,2025-12-01 13:23:00,
130,999,,,
63,5,2025-12-01 14:01:00,,
25,3,2025-12-01 12:52:00,,
79,999,2025-12-01 13:17:00,,
167,3,2025-12-01 16:11:00,,
10,1,2025-12-01 14:24:00,,
121,3,2025-12-01 07:33:00,,
98,4,2025-12-01 07:06:00,2025-12-01 07:45:00,
77,1,2025-12-01 07:47:00,2025-12-01 08:22:00,20.0
85,5,2025-12-01 14:57:00,2025-12-01 15:40:00,
85,999,2025-12-01 16:06:00,2025-12-01 16:58:00,0.0
150,999,2025-12-01 07:20:00,,
172,999,2025-12-01 13:22:00,,
70,999,2025-12-01 10:44:00,,
55,5,2025-12-01 09:15:00,,
23,3,2025-12-01 14:41:00,,
20,4,2025-12-01 08:40:00,,
87,1,2025-12-01 14:59:00,2025-12-01 15:17:00,-10.0
144,5,2025-12-01 12:24:00,,
159,2,2025-12-01 15:55:00,,
150,5,2025-12-01 15:55:00,2025-12-01 16:25:00,100.0
109,999,2025-12-01 12:38:00,,
169,4,2025-12-01 09:32:00,,
109,2,2025-12-01 11:45:00,,
152,3,2025-12-01 12:30:00,,
